album_id,title
110,Seventh Son of a Seventh Son
111,Somewhere in Time
112,The Number of The Beast
113,The X Factor
114,Virtual XI
115,Sex Machine
116,Emergency On Planet Earth
117,Synkronized
118,The Return Of The Space Cowboy
119,Get Born
120,Are You Experienced?
121,Surfing with the Alien (Remastered)
122,Jorge Ben Jor 25 Anos
123,Jota Quest-1995
124,Cafezinho
125,Living After Midnight
126,Unplugged [live]
127,BBC Sessions [Disc 2] [live]
128,Coda
129,Houses Of The Holy
130,In Through The Out Door
131,IV
132,Led Zeppelin I
133,Led Zeppelin II
134,Led Zeppelin III
135,Physical Graffiti [Disc 2]
136,Presence
137,The Song Remains The Same (Disc 1)
138,The Song Remains The Same (Disc 2)
139,A TempestadeTempestade Ou O Livro Dos Dias
140,Mais Do Mesmo
141,Greatest Hits
142,Lulu Santos - RCA 100 Anos De MÃºsica - Ãlbum 01
143,Lulu Santos - RCA 100 Anos De MÃºsica - Ãlbum 02
144,Misplaced Childhood
145,Barulhinho Bom
146,Seek And Shall Find: More Of The Best (1963-1981)
147,The Best Of Men At Work
148,Black Album
149,Garage Inc. (Disc 2)
150,Kill 'Em All
151,Load
152,Master Of Puppets
153,ReLoad
154,Ride The Lightning
155,St. Anger
156,And Justice For All
157,Miles Ahead
158,Milton Nascimento Ao Vivo
159,Minas
160,Ace Of Spades
161,Demorou...
162,Motley Crue Greatest Hits
163,From The Muddy Banks Of The Wishkah [live]
164,Nevermind
165,Compositores
166,Olodum
167,Acastico MTV
168,Arquivo II
169,Arquivo Os Paralamas Do Sucesso
170,Bark at the Moon (Remastered)
171,Blizzard of Ozz
172,Diary of a Madman (Remastered)
173,No More Tears (Remastered)
174,Tribute
175,Walking Into Clarksdale
176,Original Soundtracks 1
177,The Beast Live
178,Live On Two Legs [live]
179,Pearl Jam
180,Riot Act
181,Ten
182,Vs.
183,Dark Side Of The Moon
184,Os CÃ£es Ladram Mas A Caravana NÃ£o PÃ¡ra
185,Greatest Hits I
186,News Of The World
187,Out Of Time
188,Green
189,New Adventures In Hi-Fi
190,The Best Of R.E.M.: The IRS Years
191,Cesta BÃ¡sica
192,Raul Seixas
193,Blood Sugar Sex Magik
194,By The Way
195,Californication
196,Retrospective I (1974-1980)
197,Santana - As Years Go By
198,Santana Live
199,Maquinarama
200,O Samba PoconÃ©
201,Judas 0: B-Sides and Rarities
202,Rotten Apples: Greatest Hits
203,A-Sides
204,Morning Dance
205,In Step
206,Core
207,Mezmerize
208,Black Light Syndrome
209,Live [Disc 1]
210,Live [Disc 2]
211,The Singles
212,Beyond Good And Evil
213,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [uk]"
214,The Doors
215,The Police Greatest Hits
216,"Hot Rocks, 1964-1971 (Disc 1)"
217,No Security
218,Voodoo Lounge
219,Tangents
220,Transmission
221,My Generation - The Very Best Of The Who
222,Serie Sem Limite (Disc 1)
223,Serie Sem Limite (Disc 2)
224,Acastico
225,Volume Dois
226,Battlestar Galactica: The Story So Far
227,"Battlestar Galactica, Season 3"
228,"Heroes, Season 1"
229,"Lost, Season 3"
230,"Lost, Season 1"
231,"Lost, Season 2"
232,Achtung Baby
233,All That You Can't Leave Behind
234,B-Sides 1980-1990
235,How To Dismantle An Atomic Bomb
236,Pop
237,Rattle And Hum
238,The Best Of 1980-1990
239,War
240,Zooropa
241,UB40 The Best Of - Volume Two [uk]
242,Diver Down
243,"The Best Of Van Halen, Vol. I"
244,Van Halen
245,Van Halen III
246,Contraband
247,Vinicius De Moraes
248,Ao Vivo [import]
249,"The Office, Season 1"
250,"The Office, Season 2"
251,"The Office, Season 3"
252,Un-Led-Ed
253,"Battlestar Galactica (Classic), Season 1"
254,Aquaman
255,Instant Karma: The Amnesty International Campaign to Save Darfur
256,Speak of the Devil
257,20th Century Masters - The Millennium Collection: The Best of Scorpions
258,House of Pain
259,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro
260,Cake: B-Sides and Rarities
261,"LOST, Season 4"
262,Quiet Songs
263,Muso Ko
264,Realize
265,Every Kind of Light
266,Duos II
267,Worlds
268,The Best of Beethoven
269,Temple of the Dog
270,Carry On
271,Revelations
272,Adorate Deum: Gregorian Chant from the Proper of the Mass
273,Allegri: Miserere
274,Pachelbel: Canon & Gigue
275,Vivaldi: The Four Seasons
276,Bach: Violin Concertos
277,Bach: Goldberg Variations
278,Bach: The Cello Suites
279,Handel: The Messiah (Highlights)
280,The World of Classical Favourites
281,Sir Neville Marriner: A Celebration
282,Mozart: Wind Concertos
283,Haydn: Symphonies 99 - 104
284,Beethoven: Symhonies Nos. 5 & 6
285,A Soprano Inspired
286,Great Opera Choruses
287,Wagner: Favourite Overtures
288,"FaurÃ©: Requiem, Ravel: Pavane & Others"
289,Tchaikovsky: The Nutcracker
290,The Last Night of the Proms
291,Puccini: Madama Butterfly - Highlights
292,"Holst: The Planets, Op. 32 & Vaughan Williams: Fantasies"
293,Pavarotti's Opera Made Easy
294,Great Performances - Barber's Adagio and Other Romantic Favorites for Strings
295,Carmina Burana
296,"A Copland Celebration, Vol. I"
297,Bach: Toccata & Fugue in D Minor
298,Prokofiev: Symphony No.1
299,Scheherazade
300,Bach: The Brandenburg Concertos
301,Chopin: Piano Concertos Nos. 1 & 2
302,Mascagni: Cavalleria Rusticana
303,Sibelius: Finlandia
304,Beethoven Piano Sonatas: Moonlight & Pastorale
305,Great Recordings of the Century - Mahler: Das Lied von der Erde
306,Elgar: Cello Concerto & Vaughan Williams: Fantasias
307,"Adams, John: The Chairman Dances"
308,"Tchaikovsky: 1812 Festival Overture, Op.49, Capriccio Italien & Beethoven: Wellington's Victory"
309,Palestrina: Missa Papae Marcelli & Allegri: Miserere
310,Prokofiev: Romeo & Juliet
311,Strauss: Waltzes
312,Berlioz: Symphonie Fantastique
313,Bizet: Carmen Highlights
314,English Renaissance
315,Handel: Music for the Royal Fireworks (Original Version 1749)
316,Grieg: Peer Gynt Suites & Sibelius: PellÃ©as et MÃ©lisande
317,Mozart Gala: Famous Arias
318,SCRIABIN: Vers la flamme
319,Armada: Music from the Courts of England and Spain
320,Mozart: Symphonies Nos. 40 & 41
321,Back to Black
322,Frank
323,Carried to Dust (Bonus Track Version)
324,Beethoven: Symphony No. 6 'Pastoral' Etc.
325,Bartok: Violin & Viola Concertos
326,Mendelssohn: A Midsummer Night's Dream
327,Bach: Orchestral Suites Nos. 1 to 4
328,"Charpentier: Divertissements, Airs & Concerts"
329,South American Getaway
330,GÃ³recki: Symphony No. 3
331,Purcell: The Fairy Queen
332,The Ultimate Relexation Album
333,Purcell: Music for the Queen Mary
334,Weill: The Seven Deadly Sins
335,"J.S. Bach: Chaconne, Suite in E Minor, Partita in E Major & Prelude, Fugue and Allegro"
336,Prokofiev: Symphony No.5 & Stravinksy: Le Sacre Du Printemps
337,"Szymanowski: Piano Works, Vol. 1"
338,Nielsen: The Six Symphonies
339,Great Recordings of the Century: Paganini's 24 Caprices
340,Liszt - 12 Ã‰tudes D'Execution Transcendante
341,"Great Recordings of the Century - Shubert: Schwanengesang, 4 Lieder"
342,"Locatelli: Concertos for Violin, Strings and Continuo, Vol. 3"
343,Respighi:Pines of Rome
344,Schubert: The Late String Quartets & String Quintet (3 CD's)
345,Monteverdi: L'Orfeo
346,Mozart: Chamber Music
347,Koyaanisqatsi (Soundtrack from the Motion Picture)
